course_id,course_name,credits,course_type,Day,start_time,end_time,room_id,room_type,instructor_id,name,qualified_courses
LRA110,Modern Egyptian History,2.0,Lecture,Wednesday,14:15,15:45,F1.05,Classroom,PROF16,Dr. Mustafa AlSayed,"CSC426, CSC412, CNC415, CSC314, CSC414"
LRA202,Peace studies,2.0,Lecture,Thursday,9:00,10:30,F1.09,Classroom,PROF17,Dr. Mohamed Akhames,"CSC410, CSC411, CNC324, BIF424, AID323, CSC324, AID421, CSC425, CSC427"
LRA203,Entrepreneurship and Innovation,2.0,Lecture,Thursday,10:45,12:15,F1.12,Classroom,PROF18,Prof. Marghany Hassan,"BIF413, AID321, AID411, CSC114, CSC322, CSE312, AID111"
LRA204,Public Policy,2.0,Lecture,Thursday,12:29,13:59,F1.13,Classroom,PROF19,Dr. Nadia Fawzy,"CSC221, AID322, CNC111"
LRA205,Egyptian Business Regulations,2.0,Lecture,Thursday,14:15,15:45,F1.14,Classroom,PROF20,Dr. Karim Hamed,"MTH212, CSC112, ECE213"
LRA206,Sociology of work,2.0,Lecture,,,,F1.22,Classroom,PROF21,Dr. Moustafa Mahmoud,"CSC121, CSC323, CNC422"
LRA207,African and Middle Eastern studies,2.0,Lecture,,,,G.35,Classroom,PROF22,Dr. Ali Kandil,"MTH121, ACM323"
LRA201,Introduction to Economics and Sustainable Development,2.0,Lecture,,,,F1.06,Classroom,PROF23,Mohamad Ayad,CHM113
CSC316,Understanding Computers,2.0,Lecture,,,,F1.07,Classroom,PROF24,Prof. gehad G. Mohamed,CHM113
LRA302,Introduction to Life Sciences,2.0,Lecture,,,,F1.08,Classroom,PROF25,Dr. Mostafa Mohamed,"AID322, AID325"
LRA303,Introduction to Environmental Biology,2.0,Lecture,,,,F1.10,Classroom,PROF26,Dr. Yassen,"AID324, CNC421"
LRA304,Water and Politics in Africa and Middle East,2.0,Lecture,,,,F1.11,Classroom,PROF27,Prof. Adel Al-senn,"LRA201, LRA104"
LRA305,Astronomy,2.0,Lecture,,,,F1.18,Classroom,PROF28,Dr. Mohamed El-khateeb,"LRA203, LRA105"
LRA306,Natural Resources and Sustainability,2.0,Lecture,,,,F1.03,Classroom,PROF29,Prof. Said Sadik,"LRA206, LRA306"
LRA406,Key Skills Seminar (2),2.0,Lecture,,,,F1.08,Classroom,PROF30,Dr. Maali Fouad,LRA405
LRA407,English Language,2.0,Lecture,,,,F1.09,Classroom,PROF31,Prof. Mohamed Hassan,"LRA409, LRA208"
LRA408,Arabic Language,2.0,Lecture,,,,F1.13,Classroom,PROF32,Dr. Amal Gomaa,"LRA410, LRA103"
LRA409,Research Methods,2.0,Lecture,,,,F1.14,Classroom,PROF33,Dr. Kenji Tanaka,"LRA401, LRA402, LRA403"
LRA410,Fundamentals of Communication,2.0,Lecture,,,,F1.15,Classroom,PROF34,Dr. Yumi Yamamoto,"LRA401, LRA402, LRA404"
LRA411,Transformational Leadership,2.0,Lecture,,,,F1.16,Classroom,PROF35,Dr. Haruto Ito,"LRA401, LRA403, LRA404"
MTH111,Mathematics (1) ( Calculus + Linear Algebra),3.0,Lecture and Lab,,,,F1.17,Classroom,AP01,Eng. Fatma Elsayed,"AID417, CNC311, CSC122, BIF328, CNC321, CNC422"
MTH121,Mathematics (2) (Calculus + Linear Algebra),3.0,Lecture and Lab,,,,F1.18,Classroom,AP02,Eng. Nada Essam,"AID411, BIF425, CSC121, CSC122, AID325"
CSE312,Discrete Mathematics,3.0,Lecture and Lab,,,,G.02,Classroom,AP03,Eng. Salma Alashry,"AID321, CNC314, CSC114, CSC122, AID322, CSC321, CSC322"
MTH212,Probability and Statistics,3.0,Lecture and Lab,,,,G.04,Classroom,AP04,Eng. Mariam Ismael,"CSC111, CNC411, CSC121, CSC221, BIF321, BIF322"
PHY113,Physics 1,3.0,Lecture and Lab,,,,G.07,Classroom,AP05,Eng. Nada Hamdy,"CSC111, CNC311, CSE312, BIF421, CNC422"
PHY123,Physics 2,3.0,Lecture and Lab,,,,G.08,Classroom,AP06,Eng. Salma Waleed,"AID312, AID311, CSC323, CNC421, CSC317"
BIO111,Fundamentals of life Science,3.0,Lecture and Lab,,,,G.09,Classroom,AP07,Eng. Menna Hamdi,"CNC312, CNC111, CSC122, CSC324, AID426"
ACM215,Ordinary Differential Equations,3.0,Lecture and Lab,,,,G.12,Classroom,AP08,Eng. Omnya Ramadan,"CSE214, CSC315, CSC115, CNC222"
ACM323,Applied Numerical Methods,3.0,Lecture and Lab,,,,G.19,Classroom,AP09,Eng. Heba Abdelkader,"CSE214, BIF327, AID412, AID422"
ACM422,Operations Research,3.0,Lecture and Lab,,,,G.20,Classroom,AP10,Eng. Nourhan Waleed,"AID312, CNC314, CSC121, CNC324, CNC421"
CHM113,Chemistry (1),3.0,Lecture and Lab,,,,G.21,Classroom,AP11,Eng. Menna Magdy,"CSC211, CSC317, AID323, CSE312, CSC422"
ECE223,Signal and Systems,3.0,Lecture and Lab,,,,F1.01,Classroom,AP12,Eng. Nada Ahmed,"CSC211, CSC317, AID325, CSC422"
AID323,Parallel & Distributed Computing,3.0,Lecture and Lab,,,,F1.02,Classroom,AP13,Eng. Laila Ibrahim,"CSC121, PHY113, ECE111"
AID311,Mathematics of Data Science,3.0,Lecture and Lab,,,,F1.05,Classroom,AP14,Eng. Tarek Salah,"CSE214, AID311, CNC314"
AID321,Machine Learning,3.0,Lecture and Lab,,,,F1.08,Classroom,AP15,Eng. Rana Mohamed,"CNC223, AID324"
AID411,BIG Data Analytics & Visualization,3.0,Lecture and Lab,,,,F1.10,Classroom,AP16,Eng. Saeed Mostafa,"CSC221, CNC320, AID421, CSC427"
AID412,Introduction to Neural network,3.0,Lecture and Lab,,,,F1.12,Classroom,AP17,Eng. Maria Mounir,"CSC221, CNC323, CSC425"
AID421,Computer Vision,3.0,Lecture and Lab,,,,F1.13,Classroom,AP18,Eng. Alaa Essam,"BIF323, AID421"
AID322,Data Mining,3.0,Lecture and Lab,,,,F1.14,Classroom,AP19,Eng. Bassant Tolba,CNC325
AID422,Natural Language Processing,3.0,Lecture and Lab,,,,F1.19,Classroom,AP20,Eng. Menna Mahmoud,"CNC327, AID422"
AID324,Image Processing,3.0,Lecture and Lab,,,,F1.20,Classroom,,,
AID413,Data Security,3.0,Lecture and Lab,,,,G.02,Classroom,,,
AID416,Reinforcement Learning,3.0,Lecture and Lab,,,,G.03,Classroom,,,
AID426,Robotics,3.0,Lecture and Lab,,,,G.04,Classroom,,,
AID328,Game Theory,3.0,Lecture and Lab,,,,G.07,Classroom,,,
AID427,New Trends in Data Science,3.0,Lecture and Lab,,,,G.08,Classroom,,,
AID428,New Trends in AI,3.0,Lecture and Lab,,,,G.09,Classroom,,,
AID326,Data Science in Business,3.0,Lecture and Lab,,,,G.11,Classroom,,,
AID417,Advanced Data Mining,3.0,Lecture and Lab,,,,G.12,Classroom,,,
AID327,Human Computer Interface,3.0,Lecture and Lab,,,,G.13,Classroom,,,
AID425,AI in Bio-Computing,3.0,Lecture and Lab,,,,G.16,Classroom,,,
AID325,BlockChain & Distributed Ledgers,3.0,Lecture and Lab,,,,G.18,Computer Lab,,,
AID414,Graduation Project (1),2.0,Lab,,,,G.19,Classroom,,,
AID424,Graduation Project (2),4.0,Lab,,,,G.20,Classroom,,,
AID423,Field Training (2 Modules),5.0,Lab,,,,G.21,Classroom,,,
CSC111,Fundamentals of Programming,3.0,Lecture and Lab,,,,F1.10,Classroom,,,
CSC121,Data Structures and Algorithms,3.0,Lecture and Lab,,,,F1.11,Classroom,,,
CSC122,Advanced Programming,3.0,Lecture and Lab,,,,F1.13,Classroom,,,
CSC211,Software Engineering,3.0,Lecture and Lab,,,,F1.14,Classroom,,,
CSC221,Operating Systems,3.0,Lecture and Lab,,,,F1.18,Classroom,,,
AID312,Intelligent Systems,3.0,Lecture and Lab,,,,G.02,Classroom,,,
CNC311,Computer Networks,3.0,Lecture and Lab,,,,G.04,Classroom,,,
CNC314,Database Systems,3.0,Lecture and Lab,,,,G.05,Classroom,,,
ECE111,Digital Logic Design,3.0,Lecture and Lab,,,,G.13,Classroom,,,
CSE214,Computer Organization,3.0,Lecture and Lab,,,,G.16,Classroom,,,
CSC112,Project Management,3.0,Lecture and Lab,,,,G.17,Classroom,,,
CNC111,Networks and Web Programming,3.0,Lecture and Lab,,,,F1.01,Classroom,,,
CSC113,Compiler Design,3.0,Lecture and Lab,,,,F1.02,Classroom,,,
CSC114,Algorithms Analysis and Design,3.0,Lecture and Lab,,,,F1.03,Classroom,,,
CSE423,Computer Graphics and Visualization,3.0,Lecture and Lab,,,,F1.04,Classroom,,,
AID111,Data Science,3.0,Lecture and Lab,,,,F1.08,Classroom,,,
ECE214,Digital Signal Processing,3.0,Lecture and Lab,,,,F1.10,Classroom,,,
ECE213,Introduction to Electronics Engineering,3.0,Lecture and Lab,,,,F1.12,Classroom,,,
CNC222,Introduction to Embedded Systems,3.0,Lecture and Lab,,,,F1.13,Classroom,,,
AID221,Introduction to Artificial Intelligence,3.0,Lecture and Lab,,,,F1.16,Classroom,,,
,,,,,,,F1.19,Drawing Studio,,,
,,,,,,,G.01,Drawing Studio,,,
,,,,,,,G.02,Classroom,,,
,,,,,,,G.03,Classroom,,,
,,,,,,,G.04,Classroom,,,
,,,,,,,G.06,Classroom,,,
,,,,,,,G.07,Classroom,,,
,,,,,,,G.08,Classroom,,,
,,,,,,,G.10,Classroom,,,
,,,,,,,G.11,Drawing Studio,,,
,,,,,,,G.12,Classroom,,,
,,,,,,,G.13,Classroom,,,
,,,,,,,G.14,Classroom,,,
,,,,,,,G.18,Classroom,,,
,,,,,,,G.19,Drawing Studio,,,
,,,,,,,G.20,Classroom,,,
,,,,,,,G.21,Classroom,,,
,,,,,,,F1.12,FoE Drawing Lab,,,
,,,,,,,Hall,Hall,,,
,,,,,,,Hall,Hall,,,
,,,,,,,Hall,Hall,,,
,,,,,,,Hall,Hall,,,
,,,,,,,,,,,
,,,,,,,Theater,Theater,,,
,,,,,,,Theater,Theater,,,
,,,,,,,Theater,Theater,,,
,,,,,,,Theater,Theater,,,
,,,,,,,G-21,Theater,,,
,,,,,,,F1-19,Theater,,,
,,,,,,,F1-21,Theater,,,
,,,,,,,G-22 ,Theater,,,
